index, timestamp, power.draw [W]
2, 2019/09/06 14:15:57.167, 33.18 W
0, 2019/09/06 14:15:59.171, 31.72 W
1, 2019/09/06 14:15:59.176, 31.98 W
2, 2019/09/06 14:15:59.267, 33.18 W
0, 2019/09/06 14:16:01.272, 31.97 W
1, 2019/09/06 14:16:01.277, 31.98 W
2, 2019/09/06 14:16:01.281, 33.18 W
0, 2019/09/06 14:16:03.367, 31.97 W
1, 2019/09/06 14:16:03.371, 46.36 W
2, 2019/09/06 14:16:03.376, 33.44 W
0, 2019/09/06 14:16:05.380, 32.68 W
1, 2019/09/06 14:16:05.386, 145.25 W
2, 2019/09/06 14:16:05.390, 33.16 W
0, 2019/09/06 14:16:07.395, 31.48 W
1, 2019/09/06 14:16:07.399, 38.08 W
2, 2019/09/06 14:16:07.403, 33.18 W
0, 2019/09/06 14:16:09.408, 31.96 W
1, 2019/09/06 14:16:09.413, 141.84 W
2, 2019/09/06 14:16:09.418, 32.93 W
0, 2019/09/06 14:16:11.422, 31.47 W
1, 2019/09/06 14:16:11.427, 155.10 W
2, 2019/09/06 14:16:11.431, 32.91 W
0, 2019/09/06 14:16:13.435, 31.97 W
1, 2019/09/06 14:16:13.440, 37.35 W
2, 2019/09/06 14:16:13.445, 32.94 W
0, 2019/09/06 14:16:15.449, 31.72 W
1, 2019/09/06 14:16:15.454, 37.10 W
2, 2019/09/06 14:16:15.459, 33.19 W
0, 2019/09/06 14:16:17.463, 31.94 W
1, 2019/09/06 14:16:17.468, 183.51 W
2, 2019/09/06 14:16:17.472, 33.15 W
0, 2019/09/06 14:16:19.478, 31.94 W
1, 2019/09/06 14:16:19.483, 192.95 W
2, 2019/09/06 14:16:19.487, 33.15 W
0, 2019/09/06 14:16:21.492, 31.94 W
1, 2019/09/06 14:16:21.497, 194.16 W
2, 2019/09/06 14:16:21.501, 32.66 W
0, 2019/09/06 14:16:23.506, 31.70 W
1, 2019/09/06 14:16:23.511, 156.15 W
2, 2019/09/06 14:16:23.515, 32.93 W
0, 2019/09/06 14:16:25.520, 31.21 W
1, 2019/09/06 14:16:25.688, 192.95 W
2, 2019/09/06 14:16:25.693, 33.15 W
0, 2019/09/06 14:16:27.701, 31.72 W
1, 2019/09/06 14:16:27.705, 38.56 W
2, 2019/09/06 14:16:27.710, 32.94 W
0, 2019/09/06 14:16:29.717, 31.72 W
1, 2019/09/06 14:16:29.894, 38.32 W
2, 2019/09/06 14:16:29.898, 33.18 W
0, 2019/09/06 14:16:31.903, 30.01 W
1, 2019/09/06 14:16:32.015, 38.32 W
2, 2019/09/06 14:16:32.019, 33.18 W
0, 2019/09/06 14:16:34.027, 29.77 W
1, 2019/09/06 14:16:34.031, 38.08 W
2, 2019/09/06 14:16:34.038, 33.42 W
0, 2019/09/06 14:16:36.042, 30.26 W
1, 2019/09/06 14:16:36.105, 38.08 W
2, 2019/09/06 14:16:36.119, 32.69 W
0, 2019/09/06 14:16:38.123, 30.01 W
1, 2019/09/06 14:16:38.315, 37.84 W
2, 2019/09/06 14:16:38.326, 33.18 W
0, 2019/09/06 14:16:40.331, 30.26 W
1, 2019/09/06 14:16:40.435, 37.84 W
2, 2019/09/06 14:16:40.450, 33.18 W
0, 2019/09/06 14:16:42.455, 29.53 W
1, 2019/09/06 14:16:42.536, 34.42 W
2, 2019/09/06 14:16:42.541, 33.18 W
0, 2019/09/06 14:16:44.547, 30.26 W
1, 2019/09/06 14:16:45.077, 33.20 W
2, 2019/09/06 14:16:45.082, 33.19 W
0, 2019/09/06 14:16:47.315, 32.94 W
1, 2019/09/06 14:16:47.857, 32.95 W
2, 2019/09/06 14:16:47.861, 33.18 W
0, 2019/09/06 14:16:49.868, 33.19 W
1, 2019/09/06 14:16:50.051, 32.95 W
2, 2019/09/06 14:16:50.058, 32.71 W
0, 2019/09/06 14:16:52.062, 32.94 W
1, 2019/09/06 14:16:52.067, 32.95 W
2, 2019/09/06 14:16:52.072, 32.71 W
0, 2019/09/06 14:16:54.076, 32.94 W
1, 2019/09/06 14:16:54.083, 32.71 W
2, 2019/09/06 14:16:54.087, 32.69 W
0, 2019/09/06 14:16:56.096, 32.94 W
1, 2019/09/06 14:16:56.100, 32.71 W
2, 2019/09/06 14:16:56.105, 33.18 W
0, 2019/09/06 14:16:58.109, 32.46 W
1, 2019/09/06 14:16:58.114, 32.71 W
2, 2019/09/06 14:16:58.120, 32.94 W
0, 2019/09/06 14:17:00.124, 32.94 W
1, 2019/09/06 14:17:00.129, 32.71 W
2, 2019/09/06 14:17:00.134, 33.18 W
0, 2019/09/06 14:17:02.140, 32.46 W
1, 2019/09/06 14:17:02.144, 32.71 W
2, 2019/09/06 14:17:02.149, 33.18 W
0, 2019/09/06 14:17:04.154, 33.19 W
1, 2019/09/06 14:17:04.162, 32.71 W
2, 2019/09/06 14:17:04.166, 33.18 W
0, 2019/09/06 14:17:06.173, 32.94 W
1, 2019/09/06 14:17:06.178, 32.47 W
2, 2019/09/06 14:17:06.182, 32.94 W
0, 2019/09/06 14:17:08.187, 32.94 W
1, 2019/09/06 14:17:08.192, 32.47 W
2, 2019/09/06 14:17:08.197, 32.95 W
0, 2019/09/06 14:17:10.202, 33.19 W
1, 2019/09/06 14:17:10.267, 32.47 W
2, 2019/09/06 14:17:10.272, 32.94 W
0, 2019/09/06 14:17:12.277, 32.94 W
1, 2019/09/06 14:17:12.368, 32.47 W
2, 2019/09/06 14:17:12.372, 32.69 W
0, 2019/09/06 14:17:14.377, 32.70 W
1, 2019/09/06 14:17:14.467, 32.47 W
2, 2019/09/06 14:17:14.471, 32.94 W
0, 2019/09/06 14:17:16.476, 29.77 W
1, 2019/09/06 14:17:16.567, 32.47 W
