alpha,bias,num_features,proj_time,projection,regr_time,scale,test_score,val_score
10.0,2.0,10000.0,0.0,linear,0.09707260131835938,0.01,0.7061,0.7185
10.0,2.0,10000.0,0.0,linear,0.07134032249450684,0.1,0.8067,0.8198333333333333
10.0,2.0,10000.0,0.0,linear,0.09775900840759277,1.0,0.8107,0.8189166666666666
10.0,4.0,10000.0,0.0,linear,0.09012961387634277,1e-05,0.3151,0.3159166666666667
10.0,4.0,10000.0,0.0,linear,0.020067453384399414,0.0001,0.2975,0.298
10.0,4.0,10000.0,0.0,linear,0.03780317306518555,0.001,0.5594,0.56675
10.0,4.0,10000.0,0.0,linear,0.021451950073242188,0.01,0.704,0.70625
10.0,4.0,10000.0,0.0,linear,0.022750377655029297,0.1,0.8065,0.8165
10.0,4.0,10000.0,0.0,linear,0.019873380661010742,1.0,0.8105,0.812
10.0,8.0,10000.0,0.0,linear,0.019681930541992188,1e-05,0.323,0.32233333333333336
10.0,8.0,10000.0,0.0,linear,0.01862955093383789,0.0001,0.322,0.327
10.0,8.0,10000.0,0.0,linear,0.018499135971069336,0.001,0.5737,0.5874166666666667
10.0,8.0,10000.0,0.0,linear,0.018412351608276367,0.01,0.7041,0.7115
10.0,8.0,10000.0,0.0,linear,0.0203244686126709,0.1,0.8062,0.8131666666666667
10.0,8.0,10000.0,0.0,linear,0.020215511322021484,1.0,0.8107,0.8225
10.0,16.0,10000.0,0.0,linear,0.019268512725830078,1e-05,0.3016,0.3055833333333333
10.0,16.0,10000.0,0.0,linear,0.01922321319580078,0.0001,0.3039,0.29691666666666666
10.0,16.0,10000.0,0.0,linear,0.019160985946655273,0.001,0.5544,0.5598333333333333
10.0,16.0,10000.0,0.0,linear,0.0248262882232666,0.01,0.7082,0.717
10.0,16.0,10000.0,0.0,linear,0.019261837005615234,0.1,0.8064,0.8185833333333333
10.0,16.0,10000.0,0.0,linear,0.02391815185546875,1.0,0.8129,0.8183333333333334
100.0,0.0,10000.0,0.0,linear,0.01850128173828125,1e-05,0.3031,0.31166666666666665
100.0,0.0,10000.0,0.0,linear,0.01921868324279785,0.0001,0.3117,0.3085
100.0,0.0,10000.0,0.0,linear,0.018935203552246094,0.001,0.3818,0.38125
100.0,0.0,10000.0,0.0,linear,0.0186614990234375,0.01,0.639,0.645
100.0,0.0,10000.0,0.0,linear,0.018522024154663086,0.1,0.7851,0.79525
100.0,0.0,10000.0,0.0,linear,0.018234968185424805,1.0,0.8102,0.82075
100.0,1.0,10000.0,0.0,linear,0.018248796463012695,1e-05,0.2918,0.2848333333333333
100.0,1.0,10000.0,0.0,linear,0.03449296951293945,0.0001,0.3045,0.30975
100.0,1.0,10000.0,0.0,linear,0.018535375595092773,0.001,0.3605,0.36733333333333335
100.0,1.0,10000.0,0.0,linear,0.018425703048706055,0.01,0.6367,0.64025
100.0,1.0,10000.0,0.0,linear,0.020455121994018555,0.1,0.7848,0.7921666666666667
100.0,1.0,10000.0,0.0,linear,0.020338773727416992,1.0,0.8093,0.8141666666666667
100.0,2.0,10000.0,0.0,linear,0.020184040069580078,1e-05,0.3006,0.29941666666666666
100.0,2.0,10000.0,0.0,linear,0.020083189010620117,0.0001,0.2978,0.2926666666666667
100.0,2.0,10000.0,0.0,linear,0.020189285278320312,0.001,0.3466,0.34125
100.0,2.0,10000.0,0.0,linear,0.020227432250976562,0.01,0.6366,0.6439166666666667
100.0,2.0,10000.0,0.0,linear,0.01890850067138672,0.1,0.7858,0.7946666666666666
100.0,2.0,10000.0,0.0,linear,0.018966197967529297,1.0,0.8106,0.8184166666666667
100.0,4.0,10000.0,0.0,linear,0.018921375274658203,1e-05,0.2993,0.29575
100.0,4.0,10000.0,0.0,linear,0.018872976303100586,0.0001,0.2941,0.2920833333333333
100.0,4.0,10000.0,0.0,linear,0.02671337127685547,0.001,0.3662,0.36925
100.0,4.0,10000.0,0.0,linear,0.0189971923828125,0.01,0.6382,0.6501666666666667
100.0,4.0,10000.0,0.0,linear,0.03869295120239258,0.1,0.7849,0.79575
100.0,4.0,10000.0,0.0,linear,0.024393796920776367,1.0,0.8084,0.824
100.0,8.0,10000.0,0.0,linear,0.020139694213867188,1e-05,0.3143,0.3160833333333333
100.0,8.0,10000.0,0.0,linear,0.01893138885498047,0.0001,0.3036,0.30341666666666667
100.0,8.0,10000.0,0.0,linear,0.02632761001586914,0.001,0.3662,0.366
100.0,8.0,10000.0,0.0,linear,0.0189664363861084,0.01,0.6354,0.6494166666666666
100.0,8.0,10000.0,0.0,linear,0.033289194107055664,0.1,0.7858,0.7918333333333333
100.0,8.0,10000.0,0.0,linear,0.01894521713256836,1.0,0.8103,0.8211666666666667
100.0,16.0,10000.0,0.0,linear,0.03415107727050781,1e-05,0.296,0.29183333333333333
100.0,16.0,10000.0,0.0,linear,0.01944255828857422,0.0001,0.313,0.3205
100.0,16.0,10000.0,0.0,linear,0.019318819046020508,0.001,0.3648,0.3734166666666667
100.0,16.0,10000.0,0.0,linear,0.01959514617919922,0.01,0.6338,0.64125
100.0,16.0,10000.0,0.0,linear,0.019370079040527344,0.1,0.785,0.7878333333333334
100.0,16.0,10000.0,0.0,linear,0.040220022201538086,1.0,0.8103,0.8219166666666666
1000.0,0.0,10000.0,0.0,linear,0.01897883415222168,1e-05,0.3011,0.2940833333333333
1000.0,0.0,10000.0,0.0,linear,0.03400754928588867,0.0001,0.2945,0.29025
1000.0,0.0,10000.0,0.0,linear,0.019031524658203125,0.001,0.3142,0.32133333333333336
