alpha,gamma,num_features,proj_time,projection,regr_time,scale,test_score,val_score
1e-06,0.015625,10000.0,0.11138081550598145,rbf,1.8251943588256836,0.001,0.8811,0.8831666666666667
1e-06,0.015625,10000.0,0.10224723815917969,rbf,1.8160409927368164,0.01,0.8792,0.8854166666666666
1e-06,0.015625,10000.0,0.14054393768310547,rbf,1.8164939880371094,0.1,0.8801,0.8828333333333334
1e-06,0.015625,10000.0,0.1104116439819336,rbf,1.8385913372039795,1.0,0.8808,0.8858333333333334
1e-06,0.015625,10000.0,0.10393691062927246,rbf,1.7866418361663818,10.0,0.8786,0.8903333333333333
1e-06,0.015625,10000.0,0.10127472877502441,rbf,1.7941460609436035,100.0,0.8811,0.8828333333333334
1e-06,0.03125,10000.0,0.10307931900024414,rbf,1.7934095859527588,0.001,0.8646,0.8759166666666667
1e-06,0.03125,10000.0,0.11420416831970215,rbf,1.8372716903686523,0.01,0.8622,0.8670833333333333
1e-06,0.03125,10000.0,0.10234451293945312,rbf,1.7964191436767578,0.1,0.8631,0.8678333333333333
1e-06,0.03125,10000.0,0.10077738761901855,rbf,1.800126552581787,1.0,0.8597,0.8711666666666666
1e-06,0.03125,10000.0,0.10074567794799805,rbf,1.7954034805297852,10.0,0.8597,0.8653333333333333
1e-06,0.03125,10000.0,0.14583563804626465,rbf,1.8540632724761963,100.0,0.8615,0.8726666666666667
1e-06,0.0625,10000.0,0.13694119453430176,rbf,1.7908833026885986,0.001,0.7465,0.7549166666666667
1e-06,0.0625,10000.0,0.13801288604736328,rbf,1.811528205871582,0.01,0.7288,0.7425
1e-06,0.0625,10000.0,0.10172224044799805,rbf,1.7923064231872559,0.1,0.7273,0.7405
1e-06,0.0625,10000.0,0.10180234909057617,rbf,1.791792869567871,1.0,0.7295,0.7329166666666667
1e-06,0.0625,10000.0,0.1410374641418457,rbf,1.9276299476623535,10.0,0.7336,0.7375
1e-06,0.0625,10000.0,0.14827942848205566,rbf,1.8035569190979004,100.0,0.7286,0.7408333333333333
1e-05,0.000244140625,10000.0,0.10112714767456055,rbf,1.7609925270080566,0.001,0.7917,0.8064166666666667
1e-05,0.000244140625,10000.0,0.10213136672973633,rbf,1.7820336818695068,0.01,0.8476,0.8523333333333334
1e-05,0.000244140625,10000.0,0.0,rbf,0.0,0.1,0.0,0.0
1e-05,0.000244140625,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
1e-05,0.000244140625,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
1e-05,0.000244140625,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
1e-05,0.00048828125,10000.0,0.10085535049438477,rbf,1.8061573505401611,0.001,0.8022,0.8125
1e-05,0.00048828125,10000.0,0.10181760787963867,rbf,1.7990615367889404,0.01,0.8606,0.8715833333333334
1e-05,0.00048828125,10000.0,0.0,rbf,0.0,0.1,0.0,0.0
1e-05,0.00048828125,10000.0,0.0,rbf,0.0,1.0,0.0,0.0
1e-05,0.00048828125,10000.0,0.0,rbf,0.0,10.0,0.0,0.0
1e-05,0.00048828125,10000.0,0.0,rbf,0.0,100.0,0.0,0.0
1e-05,0.0009765625,10000.0,0.10179424285888672,rbf,1.843790054321289,0.001,0.8173,0.8274166666666667
1e-05,0.0009765625,10000.0,0.14855098724365234,rbf,1.772700309753418,0.01,0.8696,0.881
1e-05,0.0009765625,10000.0,0.13889288902282715,rbf,1.8183631896972656,0.1,0.8812,0.8821666666666667
1e-05,0.0009765625,10000.0,0.10291671752929688,rbf,1.7899940013885498,1.0,0.8787,0.8868333333333334
1e-05,0.0009765625,10000.0,0.11144566535949707,rbf,1.822139024734497,10.0,0.879,0.8855
