alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
0.0,0.5,1.0,opu,10000.0,1.0,2.0,0.8844,216.21326613426208,0.87525,7.0
100.0,0.5,1.0,opu,10000.0,0.1,2.0,0.8798,219.07529091835022,0.8802166666666666,6.0
10.0,0.5,1.0,opu,10000.0,0.1,2.0,0.8842,219.07529091835022,0.8835,6.0
1.0,0.5,1.0,opu,10000.0,0.1,2.0,0.8844,219.07529091835022,0.8789833333333333,6.0
0.1,0.5,1.0,opu,10000.0,0.1,2.0,0.8847,219.07529091835022,0.8758833333333333,6.0
0.01,0.5,1.0,opu,10000.0,0.1,2.0,0.8846,219.07529091835022,0.8753166666666666,6.0
0.0,0.5,1.0,opu,10000.0,0.1,2.0,0.8845,219.07529091835022,0.8752666666666666,6.0
100.0,0.5,1.0,opu,10000.0,0.01,2.0,0.8341,224.05121755599976,0.8289,4.0
10.0,0.5,1.0,opu,10000.0,0.01,2.0,0.8646,224.05121755599976,0.8641333333333333,4.0
1.0,0.5,1.0,opu,10000.0,0.01,2.0,0.8799,224.05121755599976,0.8802,4.0
0.1,0.5,1.0,opu,10000.0,0.01,2.0,0.8843,224.05121755599976,0.8835,4.0
0.01,0.5,1.0,opu,10000.0,0.01,2.0,0.8844,224.05121755599976,0.87895,4.0
0.0,0.5,1.0,opu,10000.0,0.01,2.0,0.8845,224.05121755599976,0.87525,4.0
100.0,0.5,1.0,opu,10000.0,0.001,2.0,0.732,220.53832912445068,0.7131333333333333,1.0
10.0,0.5,1.0,opu,10000.0,0.001,2.0,0.7918,220.53832912445068,0.7833,1.0
1.0,0.5,1.0,opu,10000.0,0.001,2.0,0.8341,220.53832912445068,0.8289,1.0
0.1,0.5,1.0,opu,10000.0,0.001,2.0,0.8646,220.53832912445068,0.8641333333333333,1.0
0.01,0.5,1.0,opu,10000.0,0.001,2.0,0.8799,220.53832912445068,0.8802166666666666,1.0
0.0,0.5,1.0,opu,10000.0,0.001,2.0,0.8845,220.53832912445068,0.8752666666666666,1.0
100.0,0.5,1.0,opu,10000.0,0.0001,2.0,0.6306,221.12677884101868,0.6333,2.0
10.0,0.5,1.0,opu,10000.0,0.0001,2.0,0.66,221.12677884101868,0.64995,2.0
1.0,0.5,1.0,opu,10000.0,0.0001,2.0,0.732,221.12677884101868,0.7131333333333333,2.0
0.1,0.5,1.0,opu,10000.0,0.0001,2.0,0.7918,221.12677884101868,0.7833,2.0
0.01,0.5,1.0,opu,10000.0,0.0001,2.0,0.8341,221.12677884101868,0.8289,2.0
0.0,0.5,1.0,opu,10000.0,0.0001,2.0,0.8846,221.12677884101868,0.8752333333333333,2.0
100.0,0.5,1.0,opu,10000.0,1e-05,2.0,0.6272,214.86430501937866,0.6317833333333334,2.0
10.0,0.5,1.0,opu,10000.0,1e-05,2.0,0.6277,214.86430501937866,0.6321,2.0
1.0,0.5,1.0,opu,10000.0,1e-05,2.0,0.6306,214.86430501937866,0.6333,2.0
0.1,0.5,1.0,opu,10000.0,1e-05,2.0,0.66,214.86430501937866,0.64995,2.0
0.01,0.5,1.0,opu,10000.0,1e-05,2.0,0.732,214.86430501937866,0.7131333333333333,2.0
0.0,0.5,1.0,opu,10000.0,1e-05,2.0,0.8846,214.86430501937866,0.8752166666666666,2.0
100.0,0.5,1.0,opu,10000.0,1.0,3.0,0.8812,220.09087586402893,0.8780166666666667,7.0
10.0,0.5,1.0,opu,10000.0,1.0,3.0,0.8803,220.09087586402893,0.87555,7.0
1.0,0.5,1.0,opu,10000.0,1.0,3.0,0.8803,220.09087586402893,0.87525,7.0
0.1,0.5,1.0,opu,10000.0,1.0,3.0,0.8803,220.09087586402893,0.8752833333333333,7.0
0.01,0.5,1.0,opu,10000.0,1.0,3.0,0.8803,220.09087586402893,0.8752666666666666,7.0
0.0,0.5,1.0,opu,10000.0,1.0,3.0,0.8804,220.09087586402893,0.8752833333333333,7.0
100.0,0.5,1.0,opu,10000.0,0.1,3.0,0.8768,219.23066926002502,0.8796666666666667,6.0
10.0,0.5,1.0,opu,10000.0,0.1,3.0,0.8826,219.23066926002502,0.8821333333333333,6.0
1.0,0.5,1.0,opu,10000.0,0.1,3.0,0.8812,219.23066926002502,0.8779333333333333,6.0
0.1,0.5,1.0,opu,10000.0,0.1,3.0,0.8804,219.23066926002502,0.8756,6.0
0.01,0.5,1.0,opu,10000.0,0.1,3.0,0.8802,219.23066926002502,0.87525,6.0
0.0,0.5,1.0,opu,10000.0,0.1,3.0,0.8802,219.23066926002502,0.8751833333333333,6.0
100.0,0.5,1.0,opu,10000.0,0.01,3.0,0.8334,220.88984966278076,0.8286166666666667,4.0
10.0,0.5,1.0,opu,10000.0,0.01,3.0,0.8613,220.88984966278076,0.8635833333333334,4.0
1.0,0.5,1.0,opu,10000.0,0.01,3.0,0.8768,220.88984966278076,0.8796666666666667,4.0
0.1,0.5,1.0,opu,10000.0,0.01,3.0,0.8827,220.88984966278076,0.88215,4.0
0.01,0.5,1.0,opu,10000.0,0.01,3.0,0.8812,220.88984966278076,0.87795,4.0
0.0,0.5,1.0,opu,10000.0,0.01,3.0,0.8802,220.88984966278076,0.8752333333333333,4.0
100.0,0.5,1.0,opu,10000.0,0.001,3.0,0.7286,216.95550417900085,0.7101833333333334,1.0
10.0,0.5,1.0,opu,10000.0,0.001,3.0,0.7922,216.95550417900085,0.7829833333333334,1.0
1.0,0.5,1.0,opu,10000.0,0.001,3.0,0.8334,216.95550417900085,0.8286166666666667,1.0
0.1,0.5,1.0,opu,10000.0,0.001,3.0,0.8613,216.95550417900085,0.8635833333333334,1.0
0.01,0.5,1.0,opu,10000.0,0.001,3.0,0.8768,216.95550417900085,0.8796666666666667,1.0
0.0,0.5,1.0,opu,10000.0,0.001,3.0,0.8802,216.95550417900085,0.8752,1.0
100.0,0.5,1.0,opu,10000.0,0.0001,3.0,0.6287,217.79856181144714,0.6314833333333333,2.0
10.0,0.5,1.0,opu,10000.0,0.0001,3.0,0.6584,217.79856181144714,0.6481166666666667,2.0
1.0,0.5,1.0,opu,10000.0,0.0001,3.0,0.7286,217.79856181144714,0.7101833333333334,2.0
0.1,0.5,1.0,opu,10000.0,0.0001,3.0,0.7922,217.79856181144714,0.7829833333333334,2.0
0.01,0.5,1.0,opu,10000.0,0.0001,3.0,0.8334,217.79856181144714,0.8286166666666667,2.0
0.0,0.5,1.0,opu,10000.0,0.0001,3.0,0.8802,217.79856181144714,0.8752,2.0
100.0,0.5,1.0,opu,10000.0,1e-05,3.0,0.6253,220.56623005867004,0.6295333333333333,2.0
10.0,0.5,1.0,opu,10000.0,1e-05,3.0,0.6259,220.56623005867004,0.6299,2.0
1.0,0.5,1.0,opu,10000.0,1e-05,3.0,0.6287,220.56623005867004,0.6314833333333333,2.0
0.1,0.5,1.0,opu,10000.0,1e-05,3.0,0.6584,220.56623005867004,0.6481166666666667,2.0
0.01,0.5,1.0,opu,10000.0,1e-05,3.0,0.7286,220.56623005867004,0.7101833333333334,2.0
0.0,0.5,1.0,opu,10000.0,1e-05,3.0,0.8802,220.56623005867004,0.8752833333333333,2.0
100.0,0.5,1.0,opu,10000.0,1.0,4.0,0.8838,214.4987142086029,0.87905,7.0
10.0,0.5,1.0,opu,10000.0,1.0,4.0,0.8844,214.4987142086029,0.8757666666666667,7.0
1.0,0.5,1.0,opu,10000.0,1.0,4.0,0.8844,214.4987142086029,0.87525,7.0
0.1,0.5,1.0,opu,10000.0,1.0,4.0,0.8844,214.4987142086029,0.87525,7.0
0.01,0.5,1.0,opu,10000.0,1.0,4.0,0.8844,214.4987142086029,0.8752833333333333,7.0
0.0,0.5,1.0,opu,10000.0,1.0,4.0,0.8844,214.4987142086029,0.8751833333333333,7.0
100.0,0.5,1.0,opu,10000.0,0.1,4.0,0.8807,222.01525163650513,0.8799833333333333,6.0
10.0,0.5,1.0,opu,10000.0,0.1,4.0,0.8842,222.01525163650513,0.8828833333333334,6.0
1.0,0.5,1.0,opu,10000.0,0.1,4.0,0.8839,222.01525163650513,0.8791,6.0
0.1,0.5,1.0,opu,10000.0,0.1,4.0,0.8844,222.01525163650513,0.8758166666666667,6.0
0.01,0.5,1.0,opu,10000.0,0.1,4.0,0.8843,222.01525163650513,0.8752166666666666,6.0
0.0,0.5,1.0,opu,10000.0,0.1,4.0,0.8844,222.01525163650513,0.8750833333333333,6.0
100.0,0.5,1.0,opu,10000.0,0.01,4.0,0.8352,218.6365475654602,0.8288333333333333,4.0
10.0,0.5,1.0,opu,10000.0,0.01,4.0,0.8652,218.6365475654602,0.8643166666666666,4.0
1.0,0.5,1.0,opu,10000.0,0.01,4.0,0.8807,218.6365475654602,0.8799833333333333,4.0
0.1,0.5,1.0,opu,10000.0,0.01,4.0,0.8842,218.6365475654602,0.8828666666666667,4.0
0.01,0.5,1.0,opu,10000.0,0.01,4.0,0.8838,218.6365475654602,0.87905,4.0
0.0,0.5,1.0,opu,10000.0,0.01,4.0,0.8843,218.6365475654602,0.87525,4.0
100.0,0.5,1.0,opu,10000.0,0.001,4.0,0.7308,219.30675077438354,0.7104833333333334,1.0
10.0,0.5,1.0,opu,10000.0,0.001,4.0,0.7912,219.30675077438354,0.7827333333333333,1.0
1.0,0.5,1.0,opu,10000.0,0.001,4.0,0.8352,219.30675077438354,0.8288333333333333,1.0
0.1,0.5,1.0,opu,10000.0,0.001,4.0,0.8652,219.30675077438354,0.8643166666666666,1.0
0.01,0.5,1.0,opu,10000.0,0.001,4.0,0.8807,219.30675077438354,0.8799833333333333,1.0
0.0,0.5,1.0,opu,10000.0,0.001,4.0,0.8843,219.30675077438354,0.8752166666666666,1.0
100.0,0.5,1.0,opu,10000.0,0.0001,4.0,0.6303,222.85168957710266,0.63325,2.0
10.0,0.5,1.0,opu,10000.0,0.0001,4.0,0.6578,222.85168957710266,0.64845,2.0
1.0,0.5,1.0,opu,10000.0,0.0001,4.0,0.7308,222.85168957710266,0.7104833333333334,2.0
0.1,0.5,1.0,opu,10000.0,0.0001,4.0,0.7912,222.85168957710266,0.7827333333333333,2.0
0.01,0.5,1.0,opu,10000.0,0.0001,4.0,0.8352,222.85168957710266,0.8288333333333333,2.0
0.0,0.5,1.0,opu,10000.0,0.0001,4.0,0.8844,222.85168957710266,0.8752,2.0
100.0,0.5,1.0,opu,10000.0,1e-05,4.0,0.6275,218.33193564414978,0.6309166666666667,2.0
10.0,0.5,1.0,opu,10000.0,1e-05,4.0,0.6276,218.33193564414978,0.6312333333333333,2.0
1.0,0.5,1.0,opu,10000.0,1e-05,4.0,0.6303,218.33193564414978,0.63325,2.0
0.1,0.5,1.0,opu,10000.0,1e-05,4.0,0.6578,218.33193564414978,0.64845,2.0
0.01,0.5,1.0,opu,10000.0,1e-05,4.0,0.7308,218.33193564414978,0.7104833333333334,2.0
0.0,0.5,1.0,opu,10000.0,1e-05,4.0,0.8843,218.33193564414978,0.87515,2.0
100.0,0.5,5.0,opu,10000.0,1.0,0.0,0.8836,228.9133903980255,0.8783333333333333,7.0
10.0,0.5,5.0,opu,10000.0,1.0,0.0,0.8833,228.9133903980255,0.87575,7.0
1.0,0.5,5.0,opu,10000.0,1.0,0.0,0.8836,228.9133903980255,0.8751333333333333,7.0
0.1,0.5,5.0,opu,10000.0,1.0,0.0,0.8836,228.9133903980255,0.8750333333333333,7.0
0.01,0.5,5.0,opu,10000.0,1.0,0.0,0.8836,228.9133903980255,0.8750166666666667,7.0
0.0,0.5,5.0,opu,10000.0,1.0,0.0,0.8836,228.9133903980255,0.8750333333333333,7.0
100.0,0.5,5.0,opu,10000.0,0.1,0.0,0.8759,227.10437297821045,0.87995,6.0
10.0,0.5,5.0,opu,10000.0,0.1,0.0,0.8827,227.10437297821045,0.8829833333333333,6.0
1.0,0.5,5.0,opu,10000.0,0.1,0.0,0.8835,227.10437297821045,0.8783,6.0
0.1,0.5,5.0,opu,10000.0,0.1,0.0,0.8834,227.10437297821045,0.8757833333333334,6.0
0.01,0.5,5.0,opu,10000.0,0.1,0.0,0.8836,227.10437297821045,0.8751166666666667,6.0
0.0,0.5,5.0,opu,10000.0,0.1,0.0,0.8836,227.10437297821045,0.875,6.0
