alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
1.0,0.5,0.0,opu,10000.0,0.1,3.0,0.8823,219.1917004585266,0.8782166666666666,6.0
0.1,0.5,0.0,opu,10000.0,0.1,3.0,0.8822,219.1917004585266,0.87575,6.0
0.01,0.5,0.0,opu,10000.0,0.1,3.0,0.8821,219.1917004585266,0.8753166666666666,6.0
0.0,0.5,0.0,opu,10000.0,0.1,3.0,0.8822,219.1917004585266,0.8753333333333333,6.0
100.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8336,220.97591400146484,0.82925,4.0
10.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8633,220.97591400146484,0.8644666666666667,4.0
1.0,0.5,0.0,opu,10000.0,0.01,3.0,0.878,220.97591400146484,0.8801,4.0
0.1,0.5,0.0,opu,10000.0,0.01,3.0,0.8826,220.97591400146484,0.8823833333333333,4.0
0.01,0.5,0.0,opu,10000.0,0.01,3.0,0.8823,220.97591400146484,0.8782,4.0
0.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8821,220.97591400146484,0.8752666666666666,4.0
100.0,0.5,0.0,opu,10000.0,0.001,3.0,0.7307,222.05789303779602,0.7105333333333334,1.0
10.0,0.5,0.0,opu,10000.0,0.001,3.0,0.7914,222.05789303779602,0.7836166666666666,1.0
1.0,0.5,0.0,opu,10000.0,0.001,3.0,0.8336,222.05789303779602,0.82925,1.0
0.1,0.5,0.0,opu,10000.0,0.001,3.0,0.8633,222.05789303779602,0.8644666666666667,1.0
0.01,0.5,0.0,opu,10000.0,0.001,3.0,0.878,222.05789303779602,0.8801,1.0
0.0,0.5,0.0,opu,10000.0,0.001,3.0,0.8823,222.05789303779602,0.8752666666666666,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.6315,219.5443081855774,0.6339166666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.6595,219.5443081855774,0.65015,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.7307,219.5443081855774,0.7105333333333334,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,3.0,0.7914,219.5443081855774,0.7836166666666666,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,3.0,0.8336,219.5443081855774,0.82925,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.8821,219.5443081855774,0.8753333333333333,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6278,219.94535779953003,0.6318,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6281,219.94535779953003,0.6321833333333333,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6315,219.94535779953003,0.6339166666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,3.0,0.6595,219.94535779953003,0.65015,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,3.0,0.7307,219.94535779953003,0.7105333333333334,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.8821,219.94535779953003,0.8752333333333333,2.0
100.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8837,224.13264632225037,0.8798333333333334,7.0
10.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8767166666666667,7.0
1.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8842,224.13264632225037,0.8765,7.0
