alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
10.0,0.5,5.0,opu,5000.0,0.01,0.0,0.8576,62.808528423309326,0.8636666666666667,4.0
1.0,0.5,5.0,opu,5000.0,0.01,0.0,0.8704,62.808528423309326,0.8784166666666666,4.0
0.1,0.5,5.0,opu,5000.0,0.01,0.0,0.8741,62.808528423309326,0.88225,4.0
0.01,0.5,5.0,opu,5000.0,0.01,0.0,0.8749,62.808528423309326,0.8824166666666666,4.0
0.0,0.5,5.0,opu,5000.0,0.01,0.0,0.8751,62.808528423309326,0.8826666666666667,4.0
100.0,0.5,5.0,opu,5000.0,0.001,0.0,0.7033,61.71799278259277,0.7123333333333334,2.0
10.0,0.5,5.0,opu,5000.0,0.001,0.0,0.7761,61.71799278259277,0.7841666666666667,2.0
1.0,0.5,5.0,opu,5000.0,0.001,0.0,0.8218,61.71799278259277,0.8246666666666667,2.0
0.1,0.5,5.0,opu,5000.0,0.001,0.0,0.8576,61.71799278259277,0.8636666666666667,2.0
0.01,0.5,5.0,opu,5000.0,0.001,0.0,0.8704,61.71799278259277,0.8784166666666666,2.0
0.0,0.5,5.0,opu,5000.0,0.001,0.0,0.8751,61.71799278259277,0.88275,2.0
100.0,0.5,5.0,opu,5000.0,0.0001,0.0,0.6254,61.87471604347229,0.548,2.0
10.0,0.5,5.0,opu,5000.0,0.0001,0.0,0.6408,61.87471604347229,0.6563333333333333,2.0
1.0,0.5,5.0,opu,5000.0,0.0001,0.0,0.7033,61.87471604347229,0.7123333333333334,2.0
0.1,0.5,5.0,opu,5000.0,0.0001,0.0,0.7761,61.87471604347229,0.7841666666666667,2.0
0.01,0.5,5.0,opu,5000.0,0.0001,0.0,0.8218,61.87471604347229,0.8246666666666667,2.0
0.0,0.5,5.0,opu,5000.0,0.0001,0.0,0.8751,61.87471604347229,0.88275,2.0
100.0,0.5,5.0,opu,5000.0,1e-05,0.0,0.6237,62.62251257896423,0.09575,2.0
10.0,0.5,5.0,opu,5000.0,1e-05,0.0,0.6241,62.62251257896423,0.1875,2.0
